Latency-Aware Task Scheduling in Software-Defined Edge and Cloud Computing With Erasure-Coded Storage Systems,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001004238600035,IEEE TRANSACTIONS ON CLOUD COMPUTING,2023,JCR 一区,"Tang Jianhang, Yanshan University","Jalalzai Mohammad M., University of British Columbia","Feng Chen, University of British Columbia","Xiong Zehui, Singapore University of Technology & Design","Zhang Yang, Nanjing University of Aeronautics & Astronautics","","",""
An improved anchor-free method for traffic scene object detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000946890000001,MULTIMEDIA TOOLS AND APPLICATIONS,2023,JCR 二区,"Ding Tonghe, Shandong Normal University","Feng Kaili, Shandong Normal University","Yan Yejin, Shandong Normal University","Wei Yanjun, Shandong Normal University","Li Tianping, Shandong Normal University","","",""
Real-time vehicle target detection in inclement weather conditions based on YOLOv4,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000951364000001,[],2023,JCR 三区,"Wang Rui, Changchun University of Science & Technology","Zhao He, Changchun University of Science & Technology","Xu Zhengwei, Chengdu University of Technology","Ding Yaming, Changchun University of Science & Technology","Li Guowei, Changchun University of Science & Technology","Zhang Yuxin, Changchun University of Science & Technology","Li Hua, Changchun University of Science & Technology",""
A Fast and Accurate Real-Time Vehicle Detection Method Using Deep Learning for Unconstrained Environments,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000947224800001,[],2023,JCR 一区,"Farid Annam, National University of Sciences & Technology - Pakistan","Hussain Farhan, National University of Sciences & Technology - Pakistan","Khan Khurram, GIK Institute Engineering Science & Technology","Shahzad Mohsin, COMSATS University Islamabad (CUI)","Khan Uzair, COMSATS University Islamabad (CUI)","Mahmood Zahid, COMSATS University Islamabad (CUI)","",""
ResiDualGAN: Resize-Residual DualGAN for Cross-Domain Remote Sensing Images Semantic Segmentation,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000947226700001,[],2023,JCR 二区,"Zhao Yang, Peking University","Guo Peng, Peking University","Sun Zihao, Peking University","Chen Xiuwan, Peking University","Gao Han, Peking University","","",""
Representative Feature Alignment for Adaptive Object Detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000941726100017,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,2023,JCR 一区,"Xu Shan, South China University of Technology","Zhang Huaidong, South China University of Technology","Xu Xuemiao, South China University of Technology","Hu Xiaowei, Shanghai AI Lab","Xu Yangyang, South China University of Technology","Dai Liangui, Guangdong Leatop Technol Investment Co Ltd","Choi Kup-Sze, Hong Kong Polytech Univ","Heng Pheng-Ann, Chinese Univ Hong Kong"
PerspectiveNet: An Object Detection Method With Adaptive Perspective Box Network Based on Density-Aware,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000935656800001,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,2023,JCR 一区,"Li Cui-Jin, Chongqing University of Posts & Telecommunications","Qu Zhong, Chongqing University of Posts & Telecommunications","Wang Sheng-Ye, Chongqing University of Posts & Telecommunications","","","","",""
A vehicle detection method based on disparity segmentation,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000920621000006,[],2023,JCR 一区,"Li Shiyang, Hangzhou Dianzi University","Chen Jing, Hangzhou Dianzi University","Peng Weimin, Hangzhou Dianzi University","Shi Xiaoying, Hangzhou Dianzi University","Bu Wanghui, Tongji University","","",""
Real-time dense traffic detection using lightweight backbone and improved path aggregation feature pyramid network,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000976621600001,[],2023,JCR 一区,"Guo Feng, Shandong University","Wang Yi, University of South Carolina System","Qian Yu, University of South Carolina System","","","","",""
Knowledge Fusion Distillation: Improving Distillation with Multi-scale Attention Mechanisms,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000906610600002,NEURAL PROCESSING LETTERS,2023,JCR 三区,"Li Linfeng, Tiangong University","Su Weixing, Tiangong University","Liu Fang, Tiangong University","He Maowei, Tiangong University","Liang Xiaodan, Tiangong University","","",""
Study on Vehicle Recognition Algorithm Based on Convolutional Neural Network,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001031393400040,"2023 3RD ASIA-PACIFIC CONFERENCE ON COMMUNICATIONS TECHNOLOGY AND COMPUTER SCIENCE, ACCTCS",2023,JCR 一区,"Wenkai Bi, Moscow Institute of Physics & Technology","","","","","","",""
A CNN-Transformer Hybrid Model Based on CSWin Transformer for UAV Image Object Detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000917253900002,[],2023,JCR 一区,"Lu Wanjie, PLA Information Engineering University","Lan Chaozhen, PLA Information Engineering University","Niu Chaoyang, PLA Information Engineering University","Liu Wei, PLA Information Engineering University","Lyu Liang, PLA Information Engineering University","Shi Qunshan, PLA Information Engineering University","Wang Shiju, PLA Information Engineering University",""
PVDet: Towards pedestrian and vehicle detection on gigapixel-level images,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000903919900008,[],2023,JCR 一区,"Mo Wanghao, Xinjiang University","Zhang Wendong, Xinjiang University","Wei Hongyang, Xinjiang University","Cao Ruyi, Xinjiang University","Ke Yan, Xinjiang University","Luo Yiwen, Xinjiang University","",""
Scale Invariant low frame rate tracking,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000895304000001,[],2022,JCR 一区,"Braga Alex P., Centro Universitario da FEI","Acchetta Everton C., Centro Universitario da FEI","Rodrigues Paulo Sergio, Centro Universitario da FEI","","","","",""
2D Winograd CNN Chip for COVID-19 and Pneumonia Detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000900345400001,[],2023,JCR 二区,"Fan Yu-Cheng, National Taipei University of Technology","Lin Kun-Yao, National Taipei University of Technology","Tsai Yen-Hsun, National Taipei University of Technology","","","","",""
